SYMBOL,logFC,logCPM,LR,PValue,FDR
CYP4B1,-4.642484097,6.109453587,432.4741696,4.70E-96,1.47E-94
NPR1,-3.953677268,3.759045917,1071.547235,5.05E-235,2.92E-232
FOLR1,-4.001681777,4.95466896,334.1527645,1.20E-74,2.40E-73
FBLN5,-2.89601975,5.362706066,592.3192727,7.84E-131,5.07E-129
C7,-3.191205466,6.424901604,229.2526536,8.68E-52,9.77E-51
CDH5,-3.441748593,5.735984349,1162.540535,8.44E-255,8.15E-252
GNG11,-2.922546169,4.854527825,621.3739045,3.76E-137,2.75E-135
PGC,-4.73154026,5.771586714,259.2679837,2.48E-58,3.38E-57
EDNRB,-4.224727865,4.770933308,1117.499307,5.19E-245,3.96E-242
FHL1,-3.824528844,6.074174884,848.0445592,1.94E-186,3.89E-184
FCN3,-4.984911641,4.566253754,773.1041958,3.80E-170,5.56E-168
PTGDS,-2.61272439,6.401218764,231.5009428,2.81E-52,3.22E-51
GPX3,-3.452148951,7.55904205,662.5947324,4.07E-146,3.66E-144
PRELP,-2.346544019,6.221813407,218.4746397,1.95E-49,2.04E-48
TIMP3,-2.341688363,8.934791637,235.5172662,3.73E-53,4.43E-52
GDF10,-4.840094311,1.94003752,572.0737216,1.99E-126,1.12E-124
WISP2,-3.45401668,3.854487941,507.6932552,2.01E-112,8.76E-111
A2M,-3.180741986,10.02106366,572.4632241,1.63E-126,9.25E-125
SELENBP1,-3.591057302,5.941548276,563.781749,1.26E-124,6.83E-123
FAM107A,-5.233072103,5.004756546,1008.041112,3.21E-221,1.37E-218
CYP27A1,-2.334631702,5.85666962,290.1429104,4.63E-65,7.45E-64
FIGF,-4.921538029,3.034589826,683.7047684,1.05E-150,1.06E-148
HSPB8,-2.013557531,5.252491692,172.4189526,2.19E-39,1.62E-38
PLA2G1B,-5.268156052,0.934175273,381.6033308,5.57E-85,1.41E-83
FOSB,-3.867818133,7.15340337,394.598004,8.26E-88,2.22E-86
FOS,-2.374839991,8.203205529,225.511079,5.68E-51,6.24E-50
SFTPD,-3.902766193,6.928913657,286.5298914,2.84E-64,4.52E-63
ATP1A2,-3.687521596,0.927846255,270.8543391,7.39E-61,1.09E-59
CA4,-5.720161884,2.041604604,472.1305644,1.10E-104,4.13E-103
OGN,-4.154788178,2.786239361,478.3829791,4.80E-106,1.85E-104
FBP1,-3.162060024,5.61315498,470.2987624,2.76E-104,1.03E-102
FABP4,-3.268714176,4.756606696,137.4750384,9.49E-32,5.09E-31
GPM6A,-5.364491377,2.730450653,577.0863033,1.61E-127,9.46E-126
DMBT1,-2.976626035,6.882342579,118.57279,1.30E-27,5.82E-27
